Comment,Designator,Footprint
Buzzer,BZ1,Buzzer_Beeper:Buzzer_12x9.5RM7.6
10uF,"C1, C5",Capacitor_SMD:C_1206_3216Metric
10uF,"C2, C3",Capacitor_SMD:CP_Elec_5x5.3
22uF,C8,Capacitor_SMD:CP_Elec_5x5.4
10uF,"C4, C9",Capacitor_SMD:CP_Elec_8x10.5
100n,"C6, C7, C10, C11, C12, C13, C14",Capacitor_SMD:C_0805_2012Metric
LED,D0,LED_SMD:LED_1206_3216Metric
OPA454,"IC1, IC2",RehabExo:SO08GP
OUTPUT,"J2, J3",RehabExo:CUI_MJ-2506N
Test,"J1, J4, J5, J6",Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical
270R,R0,Resistor_SMD:R_0805_2012Metric
100R,R2,Resistor_SMD:R_0805_2012Metric
10K,"R1, R3, R4, R19",Resistor_SMD:R_0805_2012Metric
1M,"R6, R7, R9, R10, R11, R13",Resistor_SMD:R_0805_2012Metric
ORNTA2502AT1,"R5, R8",RehabExo:ORN_VIS
20R,"R12, R15",Resistor_SMD:R_0805_2012Metric
10R,"R14, R16",Resistor_SMD:R_0805_2012Metric
1K,"R17, R18",Resistor_SMD:R_0805_2012Metric
RotaryEncoder_Switch,SW1,RehabExo:ENC_PEC12R-4025F-S0024
SW_SPDT,SW2,RehabExo:SW_MINI-SPDT-SW
ICL7660,U1,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm
AD5722AREZ,U2,RehabExo:RE_24_ADI
AZ1117EH-5.0TRG1,U3,Package_TO_SOT_SMD:SOT-223
MDOB128032,U5,RehabExo:MDOB128032GV-WI
NMT0572SC,"U6, U8",RehabExo:NMT0572SC
