Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BZ1,Buzzer,Buzzer_12x9.5RM7.6,180.9496,-84.4904,-90,top
C1,10uF,C_1206_3216Metric,216.7636,-108.9152,90,top
C2,10uF,CP_Elec_5x5.3,212.09,-101.7016,180,top
C3,10uF,CP_Elec_5x5.3,204.7748,-109.0168,-90,top
C4,10uF,CP_Elec_8x10.5,194.0052,-88.4936,180,top
C5,10uF,C_1206_3216Metric,185.674,-107.8992,90,top
C6,100n,C_0805_2012Metric,230.1748,-112.4712,0,top
C7,100n,C_0805_2012Metric,221.488,-102.4128,90,top
C8,22uF,CP_Elec_5x5.4,179.0192,-107.3912,90,top
C9,10uF,CP_Elec_8x10.5,185.1152,-68.7324,180,top
C10,100n,C_0805_2012Metric,201.2696,-78.6892,180,top
C11,100n,C_0805_2012Metric,211.1756,-71.2724,90,top
C12,100n,C_0805_2012Metric,211.1756,-76.9112,90,top
C13,100n,C_0805_2012Metric,229.6668,-93.2688,-90,top
C14,100n,C_0805_2012Metric,221.6404,-82.1944,90,top
D0,LED,LED_1206_3216Metric,191.1604,-114.1984,0,top
IC1,OPA454,SO08GP,225.7552,-86.0044,180,top
IC2,OPA454,SO08GP,225.552,-105.8672,180,top
J1,Test,PinHeader_1x02_P2.54mm_Vertical,237.241,-104.2924,-90,top
J2,OUTPUT,CUI_MJ-2506N,237.1852,-83.6676,180,top
J3,OUTPUT,CUI_MJ-2506N,237.236,-97.3328,180,top
J4,Test,PinHeader_1x02_P2.54mm_Vertical,234.6402,-76.8096,90,top
J5,Test,PinHeader_1x02_P2.54mm_Vertical,237.241,-90.5256,-90,top
J6,Test,PinHeader_1x02_P2.54mm_Vertical,176.53,-67.1526,0,top
R0,270R,R_0805_2012Metric,196.6468,-114.1984,0,top
R1,10K,R_0805_2012Metric,200.7616,-83.0072,-90,top
R2,100R,R_0805_2012Metric,187.2488,-82.9056,0,top
R3,10K,R_0805_2012Metric,215.0345,-96.774,0,top
R4,10K,R_0805_2012Metric,214.9856,-82.1944,0,top
R5,ORNTA2502AT1,ORN_VIS,225.7552,-76.6572,-90,top
R6,1M,R_0805_2012Metric,216.6112,-77.47,90,top
R7,1M,R_0805_2012Metric,216.6112,-72.3392,-90,top
R8,ORNTA2502AT1,ORN_VIS,225.552,-96.3676,-90,top
R9,1M,R_0805_2012Metric,221.996,-89.662,90,top
R10,1M,R_0805_2012Metric,229.6668,-89.6112,90,top
R11,1M,R_0805_2012Metric,221.6912,-109.6264,90,top
R12,20R,R_0805_2012Metric,229.8192,-80.9225,90,top
R13,1M,R_0805_2012Metric,229.4128,-109.5756,90,top
R14,10R,R_0805_2012Metric,238.506,-107.7976,180,top
R15,20R,R_0805_2012Metric,229.6668,-101.092,90,top
R16,10R,R_0805_2012Metric,238.2012,-73.5076,180,top
R17,1K,R_0805_2012Metric,206.3496,-79.9592,-90,top
R18,1K,R_0805_2012Metric,204.216,-79.9592,90,top
R19,10K,R_0805_2012Metric,194.7164,-71.2216,0,top
SW1,RotaryEncoder_Switch,ENC_PEC12R-4025F-S0024,209.4484,-89.5096,180,top
SW2,SW_SPDT,SW_MINI-SPDT-SW,181.1451,-114.046,0,top
U1,ICL7660,SOIC-8_3.9x4.9mm_P1.27mm,212.2424,-108.8136,-90,top
U2,AD5722AREZ,RE_24_ADI,205.1812,-73.152,-90,top
U3,AZ1117EH-5.0TRG1,SOT-223,193.3956,-107.188,0,top
U5,MDOB128032,MDOB128032GV-WI,225.6028,-70.7644,0,top
U6,NMT0572SC,NMT0572SC,185.928,-80.1116,0,top
U8,NMT0572SC,NMT0572SC,185.928,-101.3968,0,top
